"","Datum","konsumenprisindex"
"230",2020-02-01,0.2
"231",2020-03-01,-0.1
"232",2020-04-01,-1.2
"233",2020-05-01,-1
"234",2020-06-01,-0.5
"235",2020-07-01,-0.6
"236",2020-08-01,-0.4
"237",2020-09-01,-0.7
"238",2020-10-01,-0.4
"239",2020-11-01,-0.5
"240",2020-12-01,-0.1
"241",2021-01-01,0.2
"242",2021-02-01,0.3
"243",2021-03-01,0.6
"244",2021-04-01,1.5
"245",2021-05-01,1.6
"246",2021-06-01,1.7
"247",2021-07-01,1.8
"248",2021-08-01,2.3
"249",2021-09-01,2.4
"250",2021-10-01,2.3
"251",2021-11-01,3
"252",2021-12-01,2.8
"253",2022-01-01,3.1
"254",2022-02-01,3.4
"255",2022-03-01,5.4
"256",2022-04-01,5.3
"257",2022-05-01,6.1
"258",2022-06-01,6.8
"259",2022-07-01,6.8
"260",2022-08-01,6.2
"261",2022-09-01,7.4
"262",2022-10-01,9.5
"263",2022-11-01,9.7
"264",2022-12-01,9.8
"265",2023-01-01,10.7
"266",2023-02-01,11.3
"267",2023-03-01,9
"268",2023-04-01,9.4
"269",2023-05-01,7.6
"270",2023-06-01,7.6
"271",2023-07-01,7.9
"272",2023-08-01,8.1
"273",2023-09-01,7.7
"274",2023-10-01,5.7
"275",2023-11-01,4.9
"276",2023-12-01,4.7
